OrderID,CustomerID,OrderDate,OrderAmount
ORD10072,613,2025-03-07,158.36
ORD10073,124,2023-10-30,223.37
ORD10074,38,2025-02-01,954.29
ORD10075,354,2024-04-22,160.75
ORD10076,590,2024-09-04,625.26
ORD10077,243,2025-03-13,172.15
ORD10078,546,2023-12-18,217.2
ORD10079,686,2025-06-24,141.14
ORD10080,541,2023-08-13,276.72
ORD10081,90,2024-01-18,956.31
ORD10082,400,2023-08-20,516.24
ORD10083,459,2023-08-22,652.63
ORD10084,581,2024-10-27,371.72
ORD10085,495,2024-10-27,499.61
ORD10086,405,2023-08-14,715.06
ORD10087,684,2023-09-29,863.99
ORD10088,987,2025-02-27,957.05
ORD10089,72,2023-07-28,932.83
ORD10090,594,2023-12-01,782.56
ORD10091,638,2025-01-12,184.0
ORD10092,59,2024-10-18,964.99
ORD10093,247,2024-06-17,300.82
ORD10094,936,2024-03-01,865.69
ORD10095,129,2024-09-01,284.11
ORD10096,892,2025-06-16,718.3
ORD10097,419,2024-08-24,304.81
ORD10098,16,2023-12-30,972.14
ORD10099,861,2024-04-08,831.36
ORD10100,232,2023-08-15,81.7
ORD10101,779,2023-11-16,592.82
ORD10102,629,2025-01-19,537.41
ORD10103,266,2024-08-18,138.06
ORD10104,66,2023-11-26,195.09
ORD10105,158,2024-11-08,184.39
ORD10106,67,2024-02-01,888.43
ORD10107,389,2024-05-31,924.2
ORD10108,472,2024-02-04,709.5
ORD10109,259,2025-04-08,790.09
ORD10110,212,2024-12-31,511.19
ORD10111,386,2025-02-27,514.89
ORD10112,519,2024-04-13,734.74
ORD10113,838,2024-07-04,846.46
ORD10114,263,2024-03-02,464.37
ORD10115,188,2024-12-03,592.6
ORD10116,636,2024-09-08,352.65
ORD10117,788,2023-10-21,804.8
ORD10118,332,2025-03-31,54.23
ORD10119,762,2024-04-28,199.91
ORD10120,729,2023-12-27,980.68
ORD10121,631,2025-01-31,899.99
ORD10122,803,2025-01-02,746.28
ORD10123,183,2025-02-10,830.34
ORD10124,92,2025-02-19,369.26
ORD10125,163,2025-03-21,110.57
ORD10126,148,2025-02-09,207.25
ORD10127,424,2024-01-11,278.49
ORD10128,662,2025-01-06,839.58
ORD10129,125,2024-08-04,571.31
ORD10130,13,2025-06-30,977.0
ORD10131,461,2024-05-15,353.9
ORD10132,367,2023-08-19,741.18
ORD10133,770,2023-12-09,76.8
ORD10134,919,2025-07-08,834.84
ORD10135,652,2024-11-28,270.35
ORD10136,443,2024-02-28,642.13
ORD10137,595,2024-11-08,394.99
ORD10138,335,2023-07-28,526.51
ORD10139,243,2025-07-13,298.13
ORD10140,117,2024-05-06,325.04
ORD10141,46,2024-03-13,63.03
ORD10142,476,2023-08-02,647.76
ORD10143,588,2023-09-22,205.03
ORD10144,942,2024-04-17,295.25
ORD10145,874,2025-04-05,626.43
ORD10146,991,2023-09-01,892.55
ORD10147,823,2025-06-01,757.27
ORD10148,219,2024-06-02,122.89
ORD10149,337,2024-03-05,988.8
ORD10150,20,2025-06-24,124.99
ORD10151,218,2025-01-04,574.69
ORD10152,755,2024-11-05,921.05
ORD10153,372,2023-08-08,213.82
ORD10154,613,2025-04-22,851.77
ORD10155,738,2024-05-19,809.25
ORD10156,597,2024-10-31,268.49
ORD10157,218,2024-01-08,79.09
ORD10158,314,2025-06-16,651.12
ORD10159,955,2024-11-02,445.61
ORD10160,739,2023-09-25,726.9
ORD10161,870,2023-09-13,789.59
ORD10162,775,2024-12-20,248.47
ORD10163,7,2023-10-28,720.24
ORD10164,303,2024-11-04,385.71
ORD10165,317,2025-01-20,231.09
ORD10166,549,2023-12-29,944.66
ORD10167,945,2023-10-25,788.9
ORD10168,459,2024-02-05,770.37
ORD10169,165,2024-10-06,902.49
ORD10170,781,2023-09-22,598.59
ORD10171,389,2024-11-01,277.57
ORD10172,935,2024-01-06,827.45
ORD10173,419,2024-12-24,495.43
ORD10174,981,2024-12-23,739.74
ORD10175,906,2024-07-05,737.44
ORD10176,581,2024-04-04,305.58
ORD10177,25,2023-10-10,649.83
ORD10178,741,2025-02-06,498.8
ORD10179,492,2023-08-17,253.49
ORD10180,701,2024-09-06,252.28
ORD10181,261,2025-05-26,370.06
ORD10182,913,2024-05-23,92.4
ORD10183,9,2025-06-02,645.55
ORD10184,32,2023-08-02,706.21
ORD10185,791,2023-11-14,661.28
ORD10186,640,2025-07-01,375.36
ORD10187,742,2024-08-04,952.69
ORD10188,971,2023-10-10,170.45
ORD10189,494,2025-02-16,201.88
ORD10190,599,2024-11-17,141.99
ORD10191,279,2025-06-13,631.08
ORD10192,988,2025-07-14,738.94
ORD10193,837,2023-08-11,428.27
ORD10194,869,2024-09-29,544.11
ORD10195,821,2024-03-22,687.54
ORD10196,253,2025-01-14,675.94
ORD10197,624,2024-11-12,846.27
ORD10198,986,2023-10-09,497.41
ORD10199,834,2024-01-10,131.92
ORD10200,565,2024-03-09,96.87
ORD10201,343,2024-03-26,262.17
ORD10202,133,2024-10-08,652.13
ORD10203,648,2024-07-07,696.16
ORD10204,359,2024-09-28,833.37
ORD10205,389,2024-11-21,178.0
ORD10206,118,2024-03-09,586.91
ORD10207,54,2024-09-13,910.89
ORD10208,848,2025-04-13,212.82
ORD10209,249,2024-09-14,969.46
ORD10210,458,2025-04-18,123.04
ORD10211,19,2025-05-22,919.53
ORD10212,35,2023-10-18,536.1
ORD10213,183,2024-10-11,17.14
ORD10214,706,2025-01-19,670.59
ORD10215,949,2023-10-16,751.21
ORD10216,977,2025-04-29,940.5
ORD10217,569,2024-12-25,945.45
ORD10218,966,2024-01-15,825.02
ORD10219,60,2024-02-28,201.9
ORD10220,301,2023-10-08,823.93
ORD10221,574,2025-01-20,997.07
ORD10222,47,2024-03-16,508.23
ORD10223,960,2024-11-16,948.64
ORD10224,75,2025-06-30,296.29
ORD10225,827,2024-03-04,691.83
ORD10226,199,2023-11-27,215.71
ORD10227,417,2024-07-27,372.56
ORD10228,723,2024-04-03,128.19
ORD10229,534,2024-08-03,948.13
ORD10230,753,2024-07-21,563.87
ORD10231,855,2025-01-12,338.86
ORD10232,220,2023-09-06,156.39
ORD10233,190,2024-03-15,607.11
ORD10234,286,2023-08-10,77.04
ORD10235,894,2024-08-14,996.9
ORD10236,706,2024-01-07,519.1
ORD10237,360,2024-08-24,369.83
ORD10238,660,2025-06-06,733.46
ORD10239,321,2025-03-20,773.11
ORD10240,450,2024-12-27,625.62
ORD10241,83,2025-02-15,179.74
ORD10242,180,2024-04-05,752.08
ORD10243,269,2025-06-26,856.41
ORD10244,3,2024-12-15,847.79
ORD10245,543,2024-01-16,225.69
ORD10246,358,2025-05-15,827.48
ORD10247,971,2023-08-11,427.6
ORD10248,899,2025-02-14,319.82
ORD10249,454,2024-05-16,359.5
ORD10250,6,2025-02-18,360.89
ORD10251,276,2024-02-06,834.84
ORD10252,904,2025-01-15,845.73
ORD10253,722,2025-07-06,68.75
ORD10254,968,2024-09-23,609.48
ORD10255,128,2024-03-27,64.33
ORD10256,668,2024-04-29,495.28
ORD10257,193,2023-11-27,937.9
ORD10258,69,2025-05-22,763.01
ORD10259,257,2023-12-03,851.14
ORD10260,707,2024-06-04,138.33
ORD10261,698,2024-10-08,797.47
ORD10262,862,2024-02-24,204.6
ORD10263,667,2023-09-27,821.38
ORD10264,84,2025-03-20,663.74
ORD10265,706,2023-10-26,644.61
ORD10266,256,2024-02-12,44.35
ORD10267,678,2025-01-08,377.23
ORD10268,892,2024-12-17,933.04
ORD10269,254,2025-05-05,349.94
ORD10270,440,2024-06-30,505.01
ORD10271,661,2023-12-24,838.97
ORD10272,690,2025-07-13,940.91
ORD10273,856,2025-05-22,626.97
ORD10274,287,2024-12-21,113.95
ORD10275,433,2024-07-24,537.1
ORD10276,589,2025-04-21,152.97
ORD10277,485,2024-03-25,524.96
ORD10278,622,2025-01-31,587.71
ORD10279,153,2023-07-22,125.47
ORD10280,808,2025-05-20,949.58
ORD10281,306,2025-02-24,383.73
ORD10282,801,2024-07-01,419.11
ORD10283,846,2024-12-25,21.53
ORD10284,384,2023-08-21,587.02
ORD10285,541,2024-10-03,470.62
ORD10286,453,2024-03-07,893.1
ORD10287,457,2025-06-07,243.65
ORD10288,994,2024-06-24,584.22
ORD10289,3,2023-09-26,442.5
ORD10290,602,2024-09-05,630.51
ORD10291,579,2025-01-08,538.01
ORD10292,764,2023-12-09,529.38
ORD10293,469,2024-05-21,464.29
ORD10294,712,2025-03-09,441.95
ORD10295,372,2024-05-07,476.92
ORD10296,800,2025-01-10,317.39
ORD10297,684,2024-02-17,576.81
ORD10298,893,2023-12-06,37.8
ORD10299,239,2024-01-20,566.91
ORD10300,662,2024-05-24,934.1
ORD10301,676,2025-05-13,242.79
ORD10302,719,2025-03-02,967.82
ORD10303,425,2025-05-02,323.45
ORD10304,20,2025-06-23,71.3
ORD10305,897,2024-06-30,591.56
ORD10306,384,2024-06-15,229.02
ORD10307,763,2024-03-24,483.78
ORD10308,444,2024-10-30,661.88
ORD10309,252,2024-08-31,330.91
ORD10310,591,2025-02-12,881.31
ORD10311,520,2023-07-21,360.68
ORD10312,390,2024-04-16,546.22
ORD10313,607,2023-09-18,536.18
ORD10314,326,2024-06-10,423.72
ORD10315,239,2023-12-11,182.2
ORD10316,654,2023-09-26,733.58
ORD10317,205,2025-06-20,330.98
ORD10318,43,2025-04-29,773.84
ORD10319,675,2024-03-03,695.67
ORD10320,610,2023-08-13,307.01
ORD10321,794,2024-03-13,549.36
ORD10322,285,2025-04-23,123.57
ORD10323,944,2023-09-23,967.42
ORD10324,582,2024-06-06,581.72
ORD10325,455,2024-11-19,758.88
ORD10326,559,2024-08-08,343.33
ORD10327,877,2024-02-21,662.22
ORD10328,868,2023-12-27,217.14
ORD10329,72,2025-01-22,826.76
ORD10330,321,2025-04-16,914.12
ORD10331,545,2024-01-08,380.38
ORD10332,701,2024-12-23,607.59
ORD10333,913,2024-02-27,240.47
ORD10334,316,2023-07-27,156.5
ORD10335,593,2024-04-30,100.04
ORD10336,221,2024-05-05,866.46
ORD10337,748,2024-06-29,897.47
ORD10338,714,2024-12-21,209.02
ORD10339,197,2024-03-11,533.59
ORD10340,968,2023-10-02,844.39
ORD10341,841,2023-12-19,877.32
ORD10342,348,2023-09-28,578.95
ORD10343,266,2024-05-20,361.87
ORD10344,117,2023-08-13,364.42
ORD10345,676,2024-03-29,291.02
ORD10346,868,2024-08-29,577.7
ORD10347,94,2025-01-20,981.41
ORD10348,563,2025-05-16,908.09
ORD10349,631,2024-09-23,833.82
ORD10350,490,2025-04-04,594.29
ORD10351,5,2024-07-06,252.93
ORD10352,908,2024-08-07,425.22
ORD10353,51,2024-04-20,197.5
ORD10354,356,2025-01-22,68.82
ORD10355,187,2024-10-21,737.15
ORD10356,906,2025-07-13,411.0
ORD10357,916,2023-11-06,841.64
ORD10358,113,2023-07-29,161.61
ORD10359,316,2025-02-13,463.15
ORD10360,615,2023-11-10,219.97
ORD10361,54,2023-09-27,655.47
ORD10362,224,2023-08-10,523.08
ORD10363,999,2023-11-27,530.2
ORD10364,41,2024-06-19,532.52
ORD10365,187,2023-08-07,971.7
ORD10366,845,2025-03-25,622.72
ORD10367,501,2024-12-27,662.82
ORD10368,822,2024-09-27,858.21
ORD10369,870,2023-10-06,457.28
ORD10370,212,2023-10-26,503.66
ORD10371,63,2024-07-12,624.56
ORD10372,545,2025-04-26,537.16
ORD10373,200,2024-01-22,546.2
ORD10374,100,2024-09-02,421.46
ORD10375,698,2024-05-03,593.17
ORD10376,208,2024-03-07,547.75
ORD10377,712,2023-09-25,834.57
ORD10378,545,2025-02-12,689.5
ORD10379,716,2024-02-04,296.85
ORD10380,652,2024-11-02,51.88
ORD10381,226,2024-12-13,365.72
ORD10382,472,2025-01-26,192.65
ORD10383,548,2025-07-03,307.05
ORD10384,320,2023-09-12,251.5
ORD10385,96,2024-05-05,520.43
ORD10386,20,2023-10-16,313.04
ORD10387,63,2023-12-14,53.39
ORD10388,503,2024-08-27,242.68
ORD10389,647,2025-05-10,765.54
ORD10390,701,2024-11-22,706.99
ORD10391,570,2023-08-15,310.34
ORD10392,187,2024-08-14,290.49
ORD10393,977,2024-07-13,528.17
ORD10394,794,2024-07-15,323.49
ORD10395,508,2024-09-24,955.19
ORD10396,755,2024-11-16,586.87
ORD10397,916,2024-01-11,31.84
ORD10398,423,2024-05-04,947.94
ORD10399,351,2025-03-17,996.52
ORD10400,189,2025-02-23,813.88
ORD10401,951,2023-11-01,718.87
ORD10402,92,2023-10-06,57.16
ORD10403,361,2024-11-23,960.32
ORD10404,387,2025-02-11,772.97
ORD10405,301,2024-09-06,376.37
ORD10406,940,2024-10-02,602.23
ORD10407,908,2024-06-20,151.07
ORD10408,607,2023-07-20,43.84
ORD10409,978,2023-09-03,565.7
ORD10410,189,2024-12-21,328.16
ORD10411,697,2024-10-23,781.54
ORD10412,216,2025-06-13,308.89
ORD10413,548,2024-05-19,530.08
ORD10414,257,2025-07-08,855.19
ORD10415,24,2024-02-10,268.01
ORD10416,104,2025-06-26,852.18
ORD10417,458,2023-08-11,126.54
ORD10418,546,2024-05-11,991.94
ORD10419,421,2024-04-05,824.33
ORD10420,353,2024-04-01,174.44
ORD10421,423,2023-12-24,988.66
ORD10422,925,2025-04-09,668.36
ORD10423,642,2024-04-10,102.53
ORD10424,594,2025-02-23,986.8
ORD10425,819,2023-12-14,699.58
ORD10426,230,2025-03-09,787.64
ORD10427,50,2023-11-24,395.84
ORD10428,885,2023-09-26,515.27
ORD10429,761,2024-11-24,34.13
ORD10430,142,2024-03-24,819.78
ORD10431,291,2025-04-22,358.26
ORD10432,307,2024-10-20,987.07
ORD10433,6,2024-05-29,618.58
ORD10434,2,2025-02-04,739.96
ORD10435,975,2025-01-07,836.71
ORD10436,626,2024-02-28,678.44
ORD10437,509,2025-06-28,781.64
ORD10438,445,2024-05-19,905.66
ORD10439,33,2024-06-04,901.67
ORD10440,394,2024-12-27,579.78
ORD10441,33,2024-02-04,150.69
ORD10442,589,2023-12-21,305.56
ORD10443,365,2024-03-26,229.3
ORD10444,179,2024-11-01,536.24
ORD10445,7,2024-11-19,35.02
ORD10446,863,2024-07-01,880.79
ORD10447,956,2024-11-14,122.46
ORD10448,183,2024-01-22,627.25
ORD10449,709,2024-07-02,744.27
ORD10450,768,2024-11-23,565.48
ORD10451,33,2023-08-12,703.78
ORD10452,235,2024-12-21,642.24
ORD10453,800,2023-10-05,84.04
ORD10454,474,2025-01-19,450.32
ORD10455,393,2025-05-26,816.68
ORD10456,113,2023-07-19,411.72
ORD10457,265,2025-01-18,93.81
ORD10458,564,2024-01-07,246.48
ORD10459,576,2024-01-01,308.42
ORD10460,754,2024-02-28,514.58
ORD10461,992,2025-05-27,791.03
ORD10462,969,2025-07-16,97.67
ORD10463,281,2024-02-01,27.91
ORD10464,820,2024-03-07,806.18
ORD10465,58,2025-03-24,754.4
ORD10466,511,2023-10-23,587.93
ORD10467,158,2024-09-29,860.9
ORD10468,288,2024-07-23,389.0
ORD10469,879,2024-05-17,801.92
ORD10470,920,2025-05-12,516.53
ORD10471,640,2024-07-24,961.29
ORD10472,73,2024-06-30,882.1
ORD10473,903,2024-05-17,672.59
ORD10474,132,2024-03-26,12.21
ORD10475,425,2025-04-09,649.48
ORD10476,807,2024-06-15,662.17
ORD10477,738,2024-02-05,464.41
ORD10478,482,2024-06-24,798.62
ORD10479,191,2024-03-20,573.53
ORD10480,483,2023-09-28,736.37
ORD10481,604,2024-09-01,195.13
ORD10482,816,2025-07-18,405.35
ORD10483,730,2023-09-05,639.34
ORD10484,939,2024-06-08,972.47
ORD10485,267,2025-05-15,323.76
ORD10486,914,2023-08-09,820.13
ORD10487,379,2024-03-02,277.23
ORD10488,716,2025-07-16,364.1
ORD10489,92,2025-03-27,165.9
ORD10490,816,2025-06-22,972.21
ORD10491,850,2025-05-03,668.76
ORD10492,502,2025-01-26,211.09
ORD10493,45,2025-04-10,956.45
ORD10494,414,2023-07-28,896.58
ORD10495,778,2025-02-17,878.91
ORD10496,621,2024-06-08,307.0
ORD10497,464,2025-05-23,236.56
ORD10498,449,2025-04-09,56.78
ORD10499,869,2024-10-22,167.51
ORD10500,245,2023-10-11,662.88
ORD10501,301,2025-03-17,373.93
ORD10502,91,2025-02-26,58.63
ORD10503,424,2024-08-01,515.16
ORD10504,566,2024-07-11,550.12
ORD10505,280,2023-12-06,663.87
ORD10506,284,2024-05-06,258.32
ORD10507,549,2023-12-24,713.02
ORD10508,205,2024-06-30,208.29
ORD10509,543,2025-06-15,30.65
ORD10510,166,2024-09-16,774.54
ORD10511,884,2025-02-25,196.74
ORD10512,27,2024-06-03,619.32
ORD10513,906,2024-03-24,972.26
ORD10514,786,2024-08-15,505.85
ORD10515,521,2025-03-22,556.36
ORD10516,242,2025-04-11,647.31
ORD10517,584,2023-10-18,914.01
ORD10518,266,2024-11-25,124.11
ORD10519,239,2023-08-28,977.73
ORD10520,685,2023-10-25,822.39
ORD10521,731,2025-04-12,863.1
ORD10522,25,2025-05-26,17.47
ORD10523,999,2024-06-22,237.51
ORD10524,136,2025-01-11,582.89
ORD10525,596,2024-02-22,497.36
ORD10526,27,2024-09-20,136.58
ORD10527,521,2024-05-16,946.08
ORD10528,518,2023-11-24,775.2
ORD10529,882,2023-10-07,553.02
ORD10530,428,2024-09-13,41.2
ORD10531,602,2024-07-01,263.51
ORD10532,93,2025-01-21,635.57
ORD10533,303,2024-04-27,217.44
ORD10534,226,2024-11-20,79.48
ORD10535,338,2025-07-04,836.81
ORD10536,299,2025-05-20,320.92
ORD10537,739,2024-06-26,457.75
ORD10538,648,2024-11-13,868.29
ORD10539,588,2023-12-09,950.46
ORD10540,367,2024-12-04,123.61
ORD10541,884,2024-11-29,45.49
ORD10542,351,2023-08-23,86.6
ORD10543,381,2025-01-14,574.3
ORD10544,855,2024-04-09,82.58
ORD10545,245,2025-01-11,486.17
ORD10546,660,2025-06-05,11.98
ORD10547,635,2025-02-14,455.42
ORD10548,343,2025-05-14,788.45
ORD10549,480,2024-05-30,113.19
ORD10550,71,2024-02-10,647.27
ORD10551,515,2025-04-19,744.67
ORD10552,732,2024-01-09,155.89
ORD10553,366,2025-02-27,385.3
ORD10554,879,2024-03-31,26.31
ORD10555,309,2024-12-19,383.16
ORD10556,952,2024-06-13,226.03
ORD10557,660,2025-01-07,820.48
ORD10558,679,2023-11-16,688.51
ORD10559,992,2025-07-08,507.08
ORD10560,834,2024-03-07,444.72
ORD10561,214,2025-03-06,97.49
ORD10562,329,2025-03-29,906.49
ORD10563,319,2024-08-20,41.12
ORD10564,477,2024-03-13,903.71
ORD10565,648,2025-06-04,132.02
ORD10566,177,2025-06-05,132.35
ORD10567,797,2025-01-02,800.84
ORD10568,438,2024-07-07,56.86
ORD10569,768,2023-09-13,218.51
ORD10570,727,2025-04-06,267.21
ORD10571,787,2024-09-03,52.96
ORD10572,983,2024-01-15,191.38
ORD10573,33,2025-03-22,458.41
ORD10574,555,2025-01-13,697.83
ORD10575,583,2023-10-22,472.37
ORD10576,71,2025-06-01,250.77
ORD10577,990,2023-12-08,499.67
ORD10578,324,2025-07-14,613.74
ORD10579,3,2025-02-06,453.3
ORD10580,159,2023-12-01,414.65
ORD10581,621,2025-06-18,185.75
ORD10582,103,2024-04-16,713.47
ORD10583,856,2025-06-18,674.33
ORD10584,506,2023-10-27,971.24
ORD10585,445,2024-10-18,551.56
ORD10586,970,2025-06-13,582.1
ORD10587,935,2025-06-03,918.41
ORD10588,683,2023-08-24,323.54
ORD10589,260,2025-04-11,483.26
ORD10590,639,2025-01-11,331.63
ORD10591,428,2024-01-02,306.71
ORD10592,786,2024-06-28,440.43
ORD10593,333,2023-12-21,844.88
ORD10594,501,2023-11-08,755.62
ORD10595,94,2024-09-23,588.27
ORD10596,576,2024-05-07,644.77
ORD10597,184,2024-11-28,853.1
ORD10598,323,2024-07-01,549.04
ORD10599,348,2024-03-10,909.01
ORD10600,216,2024-07-16,969.17
ORD10601,793,2024-08-13,916.2
ORD10602,72,2023-09-04,262.31
ORD10603,616,2025-03-26,456.71
ORD10604,595,2024-08-06,499.29
ORD10605,608,2025-05-09,718.75
ORD10606,992,2024-04-30,976.13
ORD10607,335,2025-04-06,329.75
ORD10608,708,2024-10-09,124.77
ORD10609,876,2023-09-26,985.96
ORD10610,270,2025-01-25,32.57
ORD10611,974,2024-11-22,362.75
ORD10612,700,2023-08-15,293.59
ORD10613,417,2023-11-07,687.3
ORD10614,436,2024-03-22,669.92
ORD10615,923,2023-08-11,840.31
ORD10616,248,2025-05-09,668.0
ORD10617,156,2024-08-02,935.73
ORD10618,526,2025-07-16,234.57
ORD10619,937,2024-11-26,760.77
ORD10620,153,2023-11-14,304.49
ORD10621,347,2024-06-01,13.46
ORD10622,779,2024-12-17,96.29
ORD10623,311,2024-12-29,686.8
ORD10624,45,2024-12-30,251.18
ORD10625,695,2025-05-20,412.97
ORD10626,287,2025-04-29,709.74
ORD10627,511,2024-08-14,331.1
ORD10628,88,2024-02-23,422.52
ORD10629,968,2024-06-29,33.81
ORD10630,122,2023-08-26,844.5
ORD10631,599,2024-07-20,36.56
ORD10632,136,2025-03-11,660.57
ORD10633,901,2024-01-05,298.53
ORD10634,295,2025-03-10,15.22
ORD10635,786,2024-10-30,271.83
ORD10636,748,2024-12-12,14.12
ORD10637,612,2023-09-10,361.46
ORD10638,555,2025-03-30,663.88
ORD10639,325,2024-08-07,70.28
ORD10640,666,2025-03-08,500.13
ORD10641,46,2023-10-26,284.13
ORD10642,509,2025-05-31,606.61
ORD10643,121,2024-01-05,679.0
ORD10644,976,2024-04-29,541.88
ORD10645,803,2024-07-05,266.15
ORD10646,953,2023-12-16,765.98
ORD10647,406,2025-05-26,665.88
ORD10648,58,2025-06-08,504.65
ORD10649,416,2025-02-17,383.97
ORD10650,942,2024-04-18,160.7
ORD10651,404,2023-08-23,280.13
ORD10652,918,2023-12-22,395.34
ORD10653,676,2024-02-17,448.73
ORD10654,87,2025-07-12,829.76
ORD10655,120,2025-01-14,406.72
ORD10656,310,2023-11-12,541.41
ORD10657,210,2024-12-12,717.49
ORD10658,878,2024-11-19,502.85
ORD10659,500,2024-09-04,247.63
ORD10660,183,2024-07-02,764.85
ORD10661,867,2024-11-22,739.25
ORD10662,330,2023-10-29,371.28
ORD10663,594,2024-01-25,853.76
ORD10664,637,2023-07-29,362.66
ORD10665,871,2024-08-25,177.72
ORD10666,157,2023-10-11,189.31
ORD10667,695,2024-04-01,506.73
ORD10668,602,2025-04-16,798.2
ORD10669,388,2024-07-23,420.43
ORD10670,620,2023-12-04,606.83
ORD10671,149,2024-07-17,786.51
ORD10672,307,2024-10-28,138.34
ORD10673,96,2023-12-27,657.48
ORD10674,162,2024-12-18,848.84
ORD10675,791,2025-06-23,207.1
ORD10676,407,2024-12-06,540.28
ORD10677,852,2024-03-25,307.32
ORD10678,634,2025-02-03,683.43
ORD10679,651,2025-03-25,729.86
ORD10680,543,2023-11-11,910.56
ORD10681,464,2024-06-10,766.28
ORD10682,194,2023-09-09,463.36
ORD10683,408,2024-05-03,320.85
ORD10684,180,2023-09-05,748.45
ORD10685,811,2025-05-30,727.54
ORD10686,907,2023-07-24,397.11
ORD10687,46,2023-11-28,461.27
ORD10688,41,2024-10-08,687.29
ORD10689,65,2024-02-03,312.56
ORD10690,236,2025-05-22,542.29
ORD10691,819,2024-01-19,528.05
ORD10692,47,2024-05-07,81.59
ORD10693,479,2025-05-15,264.1
ORD10694,621,2023-12-25,159.07
ORD10695,479,2025-01-19,281.45
ORD10696,637,2024-07-24,796.0
ORD10697,365,2025-07-11,547.82
ORD10698,479,2023-07-27,885.58
ORD10699,911,2024-01-12,749.64
ORD10700,690,2025-01-31,262.37
ORD10701,734,2024-06-07,300.33
ORD10702,884,2024-04-09,443.11
ORD10703,906,2024-07-09,644.15
ORD10704,847,2024-08-12,759.4
ORD10705,140,2023-12-12,483.11
ORD10706,228,2024-12-18,28.05
ORD10707,597,2024-07-11,771.09
ORD10708,835,2023-08-22,79.38
ORD10709,616,2024-01-16,185.31
ORD10710,834,2024-12-02,83.78
ORD10711,61,2025-02-28,701.85
ORD10712,178,2024-08-02,86.13
ORD10713,212,2024-01-08,238.0
ORD10714,212,2025-05-05,709.18
ORD10715,386,2025-05-09,605.54
ORD10716,42,2024-12-16,798.16
ORD10717,708,2024-04-15,330.63
ORD10718,958,2025-03-28,819.48
ORD10719,620,2024-05-07,923.62
ORD10720,718,2025-02-15,401.28
ORD10721,773,2024-06-22,672.07
ORD10722,179,2023-09-01,435.58
ORD10723,954,2024-05-18,910.51
ORD10724,436,2024-07-19,138.09
ORD10725,872,2023-10-05,291.96
ORD10726,916,2024-08-13,88.46
ORD10727,46,2024-07-04,149.75
ORD10728,413,2024-02-19,73.32
ORD10729,76,2024-03-07,955.34
ORD10730,373,2023-07-29,514.0
ORD10731,700,2025-07-13,743.78
ORD10732,318,2023-08-24,119.24
ORD10733,6,2024-05-19,252.32
ORD10734,934,2023-07-26,911.36
